201705233_T-16-18-18_113.jpg
x,y,label
170.0,270.06666666666666,3
136.73333333333332,198.4,3
353.8666666666667,820.7333333333333,7
276.73333333333335,965.2666666666667,7
397.0,1370.2666666666667,7
237.4,1191.5333333333333,4
176.66666666666666,2056.866666666667,7
633.5333333333333,1873.0666666666666,2
726.1333333333333,2562.266666666667,7
151.6,2255.266666666667,2
1341.4666666666667,205.06666666666666,7
1020.2666666666667,372.6666666666667,2
1108.7333333333333,722.6666666666666,7
1453.3333333333333,553.7333333333333,7
1288.9333333333334,1269.4,7
1256.9333333333334,1579.0666666666666,2
864.7333333333333,1643.8666666666666,7
821.7333333333333,1750.2,7
1293.2666666666667,2380.4666666666667,2
1423.1333333333334,2487.866666666667,7
1988.7333333333333,95.53333333333333,3
1569.1333333333334,449.06666666666666,7
2077.4,878.2,7
1761.3333333333333,1041.7333333333333,7
1503.8666666666666,1352.8,7
2093.3333333333335,1283.2666666666667,7
2053.5333333333333,1947.7333333333333,2
1976.8,1997.5333333333333,2
2078.6,2359.0,7
1589.6,2520.6,7
2578.3333333333335,263.53333333333336,7
2373.4666666666667,421.8,7
2859.866666666667,1039.6,7
2829.6666666666665,611.9333333333333,3
2284.4,1479.4666666666667,7
2274.866666666667,1348.2,7
2654.0,2035.9333333333334,4
2279.4666666666667,1995.2666666666667,2
2710.5333333333333,2385.6,2
2765.8,2562.4,2
2956.6666666666665,42.86666666666667,2
3266.6666666666665,257.4,7
3340.6666666666665,763.6,3
3226.133333333333,655.6666666666666,3
3106.3333333333335,1619.7333333333333,4
3459.266666666667,1098.8666666666666,7
3181.0666666666666,2083.733333333333,7
2920.733333333333,1667.8,7
3210.2,2208.0,4
3611.133333333333,2507.133333333333,7
